Micrometro/rayas	mm	promedio	Contador				
0	0	128.2	133.0	136.0	119.0	136.0	117.0
3	0.03	118.6	133.0	112.0	127.0	106.0	115.0
6	0.06	121.0	114.0	132.0	116.0	127.0	116.0
9	0.09	121.6	111.0	138.0	116.0	123.0	120.0
12	0.12	109.4	111.0	109.0	108.0	119.0	100.0
15	0.15	109.6	108.0	100.0	106.0	120.0	114.0
18	0.18	112.2	120.0	102.0	104.0	116.0	119.0
21	0.21	115.0	119.0	108.0	127.0	108.0	113.0
24	0.24	116.8	125.0	114.0	122.0	114.0	109.0
27	0.27	111.0	118.0	106.0	104.0	109.0	118.0
30	0.3	119.4	116.0	127.0	118.0	123.0	113.0
33	0.33	123.0	124.0	136.0	118.0	119.0	118.0
36	0.36	136.4	125.0	146.0	137.0	141.0	133.0
39	0.39	139.0	134.0	136.0	140.0	138.0	147.0
42	0.42	149.2	147.0	151.0	154.0	146.0	148.0
45	0.45	163.2	166.0	163.0	158.0	171.0	158.0
48	0.48	179.2	182.0	172.0	188.0	171.0	183.0
51	0.51	193.8	197.0	187.0	191.0	200.0	194.0
54	0.54	209.8	212.0	201.0	206.0	215.0	215.0
57	0.57	216.2	206.0	216.0	227.0	224.0	208.0
60	0.6	219.4	217.0	224.0	206.0	233.0	217.0
63	0.63	222.2	233.0	221.0	220.0	213.0	224.0
66	0.66	221.8	228.0	218.0	204.0	221.0	238.0
69	0.69	211.2	202.0	204.0	223.0	226.0	201.0
72	0.72	214.2	233.0	211.0	213.0	203.0	211.0
75	0.75	203.6	212.0	205.0	198.0	205.0	198.0
78	0.78	197.4	185.0	194.0	193.0	201.0	214.0
81	0.81	186.2	183.0	187.0	188.0	182.0	191.0
84	0.84	175.8	178.0	179.0	181.0	159.0	182.0
87	0.87	172.2	174.0	176.0	154.0	179.0	178.0
90	0.9	165.2	166.0	159.0	177.0	156.0	168.0
93	0.93	177.2	179.0	175.0	179.0	166.0	187.0
96	0.96	185.6	172.0	182.0	193.0	187.0	194.0
99	0.99	213.8	217.0	218.0	223.0	202.0	209.0
102	1.02	218.2	217.0	205.0	221.0	227.0	221.0
105	1.05	252.8	268.0	257.0	255.0	235.0	249.0
108	1.08	282.8	281.0	277.0	283.0	297.0	276.0
111	1.11	301.6	323.0	304.0	314.0	279.0	288.0
114	1.14	323.2	312.0	334.0	337.0	320.0	313.0
117	1.17	332.8	352.0	311.0	336.0	322.0	343.0
120	1.2	362.0	375.0	384.0	350.0	359.0	342.0
123	1.23	377.4	364.0	369.0	377.0	384.0	393.0
126	1.26	369.2	361.0	371.0	380.0	375.0	359.0
129	1.29	373.0	380.0	369.0	368.0	362.0	386.0
132	1.32	351.8	354.0	374.0	326.0	358.0	347.0
135	1.35	328.4	316.0	334.0	327.0	334.0	331.0
138	1.38	303.6	306.0	290.0	310.0	305.0	307.0
141	1.41	284.0	352.0	270.0	287.0	250.0	261.0
144	1.44	259.4	252.0	270.0	247.0	258.0	270.0
147	1.47	242.2	241.0	243.0	248.0	236.0	243.0
150	1.5	230.6	236.0	238.0	240.0	229.0	210.0
153	1.53	232.4	230.0	239.0	213.0	223.0	257.0
156	1.56	228.8	227.0	212.0	233.0	242.0	230.0
159	1.59	249.8	238.0	244.0	250.0	255.0	262.0
162	1.62	282.6	288.0	300.0	274.0	276.0	275.0
165	1.65	298.4	299.0	282.0	288.0	306.0	317.0
168	1.68	351.0	330.0	356.0	358.0	346.0	365.0
171	1.71	409.6	387.0	436.0	408.0	410.0	407.0
174	1.74	438.6	435.0	491.0	428.0	425.0	414.0
177	1.77	495.0	490.0	517.0	542.0	483.0	443.0
180	1.8	609.8	563.0	673.0	653.0	535.0	625.0
183	1.83	601.4	631.0	557.0	672.0	584.0	563.0
186	1.86	614.4	686.0	623.0	602.0	643.0	518.0
189	1.89	605.4	647.0	588.0	569.0	621.0	602.0
192	1.92	558.2	555.0	575.0	614.0	502.0	545.0
195	1.95	489.0	465.0	503.0	485.0	475.0	517.0
198	1.98	448.6	442.0	451.0	438.0	465.0	447.0
201	2.01	416.4	414.0	422.0	432.0	398.0	416.0
204	2.04	360.0	357.0	371.0	370.0	343.0	359.0
207	2.07	332.6	328.0	332.0	318.0	331.0	354.0
210	2.1	311.4	319.0	299.0	322.0	304.0	313.0
213	2.13	306.0	282.0	302.0	294.0	357.0	295.0
216	2.16	284.4	290.0	271.0	297.0	283.0	281.0
219	2.19	293.4	292.0	295.0	305.0	288.0	287.0
222	2.22	326.2	316.0	321.0	314.0	338.0	342.0
225	2.25	386.6	377.0	375.0	402.0	397.0	382.0
228	2.28	429.4	422.0	426.0	431.0	445.0	423.0
231	2.31	487.8	485.0	489.0	481.0	502.0	482.0
234	2.34	569.4	572.0	633.0	552.0	540.0	550.0
237	2.37	798.0	760.0	781.0	793.0	830.0	826.0
240	2.4	813.8	737.0	868.0	817.0	784.0	863.0
243	2.43	1123.8	1095.0	1056.0	1173.0	1150.0	1145.0
246	2.46	1198.8	1064.0	1252.0	1363.0	1163.0	1152.0
249	2.49	1147.8	1218.0	1204.0	1017.0	1145.0	1155.0
252	2.52	1045.8	1049.0	1082.0	1005.0	1050.0	1043.0
255	2.55	868.4	826.0	889.0	930.0	886.0	811.0
258	2.58	775.6	713.0	735.0	720.0	956.0	754.0
261	2.61	655.8	613.0	628.0	698.0	628.0	712.0
264	2.64	472.8	446.0	460.0	470.0	493.0	495.0
267	2.67	420.2	410.0	425.0	413.0	438.0	415.0
270	2.7	377.8	365.0	396.0	355.0	397.0	376.0
273	2.73	335.4	324.0	347.0	329.0	335.0	342.0
276	2.76	326.6	335.0	325.0	330.0	333.0	310.0
279	2.79	327.6	322.0	326.0	332.0	314.0	344.0
282	2.82	339.6	332.0	337.0	349.0	339.0	341.0
285	2.85	382.0	384.0	393.0	397.0	369.0	367.0
288	2.88	425.8	427.0	416.0	441.0	421.0	424.0
291	2.91	490.2	494.0	485.0	488.0	477.0	507.0
294	2.94	598.8	566.0	602.0	639.0	603.0	584.0
297	2.97	740.8	805.0	740.0	733.0	689.0	737.0
300	3	919.8	889.0	909.0	969.0	868.0	964.0
303	3.03	1129.4	1083.0	1088.0	1148.0	1133.0	1195.0
306	3.06	1181.6	1282.0	1253.0	1132.0	1039.0	1202.0
309	3.09	1318.8	1157.0	1546.0	1273.0	1374.0	1244.0
312	3.12	1126.8	1115.0	950.0	1184.0	1131.0	1254.0
315	3.15	981.6	840.0	947.0	1090.0	877.0	1154.0
318	3.18	754.6	846.0	626.0	696.0	860.0	745.0
321	3.21	604.2	560.0	573.0	618.0	711.0	559.0
324	3.24	510.2	539.0	511.0	507.0	483.0	511.0
327	3.27	441.8	442.0	457.0	444.0	426.0	440.0
330	3.3	398.6	389.0	416.0	416.0	393.0	379.0
333	3.33	354.8	366.0	363.0	359.0	350.0	336.0
336	3.36	341.0	334.0	340.0	338.0	342.0	351.0
339	3.39	342.0	348.0	351.0	330.0	336.0	345.0
342	3.42	358.2	360.0	365.0	368.0	353.0	345.0
345	3.45	404.8	389.0	387.0	389.0	392.0	467.0
348	3.48	434.8	436.0	437.0	431.0	425.0	445.0
351	3.51	520.4	524.0	529.0	532.0	509.0	508.0
354	3.54	584.0	674.0	558.0	552.0	590.0	546.0
357	3.57	678.8	690.0	659.0	725.0	632.0	688.0
360	3.6	962.8	943.0	909.0	1017.0	868.0	1077.0
363	3.63	1069.0	1068.0	1027.0	1071.0	1139.0	1040.0
366	3.66	1162.8	1124.0	1213.0	1195.0	1187.0	1095.0
369	3.69	1180.8	1116.0	1340.0	1117.0	1192.0	1139.0
372	3.72	1019.2	909.0	1041.0	1203.0	926.0	1017.0
375	3.75	937.6	956.0	849.0	936.0	1022.0	925.0
378	3.78	646.4	638.0	631.0	634.0	699.0	630.0
381	3.81	543.0	546.0	527.0	546.0	545.0	551.0
384	3.84	492.4	493.0	497.0	502.0	491.0	479.0
387	3.87	448.8	447.0	455.0	443.0	429.0	470.0
390	3.9	392.8	392.0	400.0	398.0	392.0	382.0
393	3.93	360.0	369.0	367.0	348.0	348.0	368.0
396	3.96	349.8	335.0	363.0	367.0	330.0	354.0
399	3.99	343.6	330.0	379.0	335.0	337.0	337.0
402	4.02	346.4	341.0	354.0	363.0	347.0	327.0
405	4.05	379.2	407.0	381.0	361.0	390.0	357.0
408	4.08	424.8	415.0	428.0	438.0	413.0	430.0
411	4.11	472.8	447.0	496.0	471.0	483.0	467.0
414	4.14	504.2	490.0	499.0	546.0	483.0	503.0
417	4.17	544.8	572.0	545.0	556.0	534.0	517.0
420	4.2	631.8	672.0	574.0	595.0	683.0	635.0
423	4.23	616.2	626.0	613.0	610.0	640.0	592.0
426	4.26	725.4	643.0	780.0	749.0	743.0	712.0
429	4.29	662.8	612.0	630.0	677.0	685.0	710.0
432	4.32	643.0	622.0	678.0	614.0	677.0	624.0
435	4.35	563.0	533.0	572.0	565.0	570.0	575.0
438	4.38	541.4	526.0	515.0	529.0	551.0	586.0
441	4.41	491.8	510.0	505.0	495.0	473.0	476.0
444	4.44	443.4	418.0	461.0	441.0	471.0	426.0
447	4.47	421.0	393.0	473.0	426.0	398.0	415.0
450	4.5	377.6	385.0	371.0	372.0	375.0	385.0
453	4.53	354.2	357.0	350.0	364.0	342.0	358.0
456	4.56	322.2	324.0	310.0	335.0	335.0	307.0
459	4.59	330.8	326.0	335.0	320.0	331.0	342.0
462	4.62	322.8	314.0	311.0	318.0	343.0	328.0
465	4.65	341.8	350.0	331.0	350.0	330.0	348.0
468	4.68	350.4	335.0	359.0	337.0	359.0	362.0
471	4.71	377.2	384.0	348.0	393.0	371.0	390.0
474	4.74	401.6	400.0	416.0	393.0	399.0	400.0
477	4.77	419.6	421.0	404.0	449.0	417.0	407.0
