Tr	Vr	Desv
0.84	0.2092	0.009523655
0.87	0.2071	0.010353743
0.9	0.2048	0.008228001
0.93	0.2033	0.007628892
0.96	0.2032	0.009016651
0.99	0.2056	0.008288546
1.02	0.2112	0.008197561
1.05	0.2205	0.012091319
1.08	0.2338	0.008438009
1.11	0.2507	0.018119051
1.14	0.2704	0.011691878
1.17	0.2914	0.016392071
1.2	0.3119	0.017363755
1.23	0.3298	0.011588788
1.26	0.3432	0.009011104
1.29	0.35	0.009746794
1.32	0.3491	0.017498571
1.35	0.34	0.007503333
1.38	0.3231	0.007829432
1.41	0.3	0.040354678
1.44	0.2732	0.010430724
1.47	0.2462	0.00432435
1.5	0.2229	0.012239281
1.53	0.2074	0.016727223
1.56	0.2033	0.01094075
1.59	0.2135	0.009338094
1.62	0.2397	0.011260551
1.65	0.2818	0.013974978
1.68	0.3382	0.01356466
1.71	0.4052	0.017444197
1.74	0.4778	0.030253925
1.77	0.5497	0.037302815
1.8	0.6144	0.058899915
1.83	0.6651	0.049013264
1.86	0.6964	0.062179579
1.89	0.7042	0.03005495
1.92	0.6868	0.041045097
1.95	0.645	0.021023796
1.98	0.5823	0.010406729
2.01	0.5048	0.012441865
2.04	0.4206	0.011401754
2.07	0.339	0.013183323
2.1	0.2697	0.009762172
2.13	0.222	0.029402381
2.16	0.2031	0.009787747
2.19	0.2179	0.007231874
2.22	0.268	0.012930584
2.25	0.3514	0.012177849
2.28	0.4623	0.009396808
2.31	0.5921	0.008526429
2.34	0.7294	0.037400535
2.37	0.8617	0.029857997
2.4	0.9763	0.055124405
2.43	1.062	0.047388817
2.46	1.109	0.113396208
2.49	1.114	0.079458794
2.52	1.073	0.027435379
2.55	0.9914	0.049043858
2.58	0.8759	0.102065175
2.61	0.7379	0.045598246
2.64	0.5913	0.021158922
2.67	0.4511	0.01143241
2.7	0.332	0.018619882
2.73	0.247	0.009343447
2.76	0.2059	0.010014989
2.79	0.214	0.011260551
2.82	0.272	0.006228965
2.85	0.3754	0.013638182
2.88	0.5149	0.009418068
2.91	0.6776	0.011211601
2.94	0.848	0.02710535
2.97	1.01	0.041475294
3	1.147	0.045063289
3.03	1.246	0.046176834
3.06	1.297	0.09796581
3.09	1.295	0.14877735
3.12	1.241	0.112768347
3.15	1.14	0.135702984
3.18	1.001	0.099407243
3.21	0.8383	0.064356041
3.24	0.6679	0.019879638
3.27	0.5061	0.011054411
3.3	0.3683	0.016682326
3.33	0.2674	0.012111978
3.36	0.2122	0.006324555
3.39	0.207	0.008746428
3.42	0.2508	0.009311283
3.45	0.3381	0.034816663
3.48	0.4587	0.00742967
3.51	0.5997	0.011238327
3.54	0.7463	0.053103672
3.57	0.8833	0.035095584
3.6	0.9971	0.084042846
3.63	1.077	0.043330128
3.66	1.115	0.0506083
3.69	1.108	0.094189702
3.72	1.058	0.117359277
3.75	0.9704	0.062195659
3.78	0.8544	0.029568564
3.81	0.7215	0.009246621
3.84	0.5843	0.008590693
3.87	0.4553	0.015139353
3.9	0.3457	0.007014271
3.93	0.2642	0.010977249
3.96	0.2161	0.016574076
3.99	0.2033	0.019994999
4.02	0.224	0.013594116
4.05	0.2732	0.020717143
4.08	0.3434	0.010568822
4.11	0.4255	0.018335757
4.14	0.5096	0.024631281
4.17	0.5864	0.020945167
4.2	0.648	0.047283189
4.23	0.6885	0.018005555
4.26	0.7044	0.052002885
4.29	0.6952	0.040554901
4.32	0.6627	0.031717503
4.35	0.611	0.017161002
4.38	0.5457	0.028147824
4.41	0.4735	0.016724234
4.44	0.4011	0.022501111
4.47	0.3346	0.03192961
4.5	0.279	0.006913754
4.53	0.2377	0.008438009
4.56	0.2125	0.013330416
4.59	0.2031	0.008408329
4.62	0.208	0.012988456
4.65	0.2241	0.010353743
4.68	0.2477	0.013221195
4.71	0.2748	0.018376616
4.74	0.3014	0.008561542
4.77	0.3242	0.017854971
4.8	0.3407	0.019793938
4.83	0.3494	0.007402702
4.86	0.3498	0.01611521
4.89	0.3425	0.009710819
4.92	0.3289	0.020583974
4.95	0.3107	0.007293833
4.98	0.2902	0.004449719
5.01	0.2692	0.013498148
5.04	0.2497	0.021995454
5.07	0.233	0.008018728
5.1	0.2199	0.007266361
5.13	0.2107	0.010124228
5.16	0.2054	0.009528903
5.19	0.2032	0.013601471
